Unnamed: 0,车站代码,地址,城市,省份,坐标（高德GCJ-02坐标系）
北京北,VAP,北京市西城区北京北火车站,北京市,北京市,"116.352994,39.945261"
北京东,BOP,北京东火车站,北京市,北京市,"116.484819,39.902341"
北京,BJP,北京市东城区北京火车站,北京市,北京市,"116.427915,39.902895"
北京南,VNP,北京市丰台区南火车站,北京市,北京市,"116.379810,39.865419"
北京西,BXP,北京市丰台区西火车站,北京市,北京市,"116.321113,39.894538"
广州南,IZQ,广东省广州市,广州市,广东省,"113.264434,23.129162"
重庆北,CUW,重庆市渝北区北火车站,重庆市,重庆市,"106.548355,29.604132"
重庆,CQW,重庆市渝中区重庆火车站,重庆市,重庆市,"106.516416,29.539798"
重庆南,CRW,重庆市大足区南火车站,重庆市,重庆市,"105.745918,29.421464"
重庆西,CXW,重庆市,重庆市,重庆市,"106.551556,29.563009"
广州东,GGQ,广东省广州市天河区东火车站,广州市,广东省,"113.324900,23.150566"
上海,SHH,上海市静安区上海火车站,上海市,上海市,"121.455625,31.250202"
上海南,SNH,上海市,上海市,上海市,"121.473701,31.230416"
上海虹桥,AOH,上海市闵行区虹桥火车站,上海市,上海市,"121.320205,31.193935"
上海西,SXH,上海市,上海市,上海市,"121.473701,31.230416"
天津北,TBP,天津市,天津市,天津市,"117.200983,39.084158"
天津,TJP,天津市河东区天津火车站,天津市,天津市,"117.211336,39.137899"
天津南,TIP,天津市蓟州区南火车站,天津市,天津市,"117.369408,39.995048"
天津西,TXP,天津市红桥区西火车站,天津市,天津市,"117.163257,39.159572"
香港西九龙,XJA,香港特别行政区香港特别行政区深水埗區西九龙,香港特别行政区,香港特别行政区,"114.151820,22.331542"
长春,CCT,吉林省长春市宽城区长春火车站,长春市,吉林省,"125.324855,43.909848"
长春南,CET,吉林省长春市,长春市,吉林省,"125.323544,43.817071"
长春西,CRT,吉林省长春市绿园区西火车站,长春市,吉林省,"125.200934,43.876709"
成都东,ICW,四川省成都市成华区东火车站,成都市,四川省,"104.141085,30.628884"
成都南,CNW,成都南火车站,成都市,四川省,"104.068431,30.606147"
成都,CDW,四川省成都市金牛区成都火车站,成都市,四川省,"104.073373,30.695929"
长沙,CSQ,湖南省长沙市芙蓉区长沙火车站,长沙市,湖南省,"113.010644,28.192547"
长沙南,CWQ,长沙南火车站,长沙市,湖南省,"113.065494,28.147104"
大明湖,JAK,陕西省渭南市华县大明镇,渭南市,陕西省,"109.744057,34.385696"
福州,FZS,福建省福州市晋安区福州火车站,福州市,福建省,"119.319952,26.113730"
福州南,FYS,福建省福州市仓山区南火车站,福州市,福建省,"119.389358,25.986565"
贵阳,GIW,贵州省贵阳市南明区贵阳火车站,贵阳市,贵州省,"106.703767,26.557856"
广州,GZQ,广东省广州市越秀区广州火车站,广州市,广东省,"113.258171,23.147675"
广州西,GXQ,广东省广州市荔湾区西火车站,广州市,广东省,"113.244436,23.138154"
哈尔滨,HBB,黑龙江省哈尔滨市南岗区哈尔滨火车站,哈尔滨市,黑龙江省,"126.633588,45.762334"
哈尔滨东,VBB,黑龙江省哈尔滨市道外区哈东火车站,哈尔滨市,黑龙江省,"126.705345,45.788548"
哈尔滨西,VAB,黑龙江省哈尔滨市,哈尔滨市,黑龙江省,"126.534967,45.803775"
合肥,HFH,安徽省合肥市瑶海区合肥火车站,合肥市,安徽省,"117.319573,31.882277"
合肥西,HTH,安徽省合肥市蜀山区西火车站,合肥市,安徽省,"117.216294,31.833128"
呼和浩特东,NDC,内蒙古自治区呼和浩特市新城区东火车站,呼和浩特市,内蒙古自治区,"111.757676,40.844796"
呼和浩特,HHC,内蒙古自治区呼和浩特市新城区呼和浩特火车站,呼和浩特市,内蒙古自治区,"111.665510,40.831319"
海  口东,KEQ,海南省海口市,海口市,海南省,"110.331192,20.031971"
海口东,HMQ,海南省海口市龙华区东火车站,海口市,海南省,"110.342920,19.983899"
海口,VUQ,海南省海口市秀英区海口火车站,海口市,海南省,"110.161343,20.027250"
杭州东,HGH,浙江省杭州市江干区东火车站,杭州市,浙江省,"120.213116,30.290998"
杭州,HZH,浙江省杭州市上城区杭州火车站,杭州市,浙江省,"120.181851,30.243535"
杭州南,XHH,浙江省杭州市萧山区南火车站,杭州市,浙江省,"120.294218,30.172820"
济南,JNK,山东省济南市天桥区济南火车站,济南市,山东省,"116.990875,36.670968"
济南西,JGK,山东省济南市槐荫区西火车站,济南市,山东省,"116.890880,36.668809"
昆明,KMM,云南省昆明市官渡区昆明火车站,昆明市,云南省,"102.723795,25.013698"
昆明西,KXM,云南省昆明市呈贡区西火车站,昆明市,云南省,"102.825498,24.917959"
拉萨,LSO,西藏自治区拉萨市堆龙德庆区拉萨火车站,拉萨市,西藏自治区,"91.070468,29.623065"
兰州东,LVJ,甘肃省兰州市,兰州市,甘肃省,"103.834303,36.061089"
兰州,LZJ,甘肃省兰州市城关区兰州火车站,兰州市,甘肃省,"103.850298,36.034500"
兰州西,LAJ,甘肃省兰州市,兰州市,甘肃省,"103.834303,36.061089"
南昌,NCG,江西省南昌市西湖区南昌火车站,南昌市,江西省,"115.918581,28.661293"
南京,NJH,江苏省南京市玄武区南京火车站,南京市,江苏省,"118.797161,32.086334"
南京南,NKH,江苏省南京市江宁区南火车站,南京市,江苏省,"118.798537,31.968789"
南宁,NNZ,广西壮族自治区南宁市西乡塘区南宁火车站,南宁市,广西壮族自治区,"108.314812,22.826587"
石家庄北,VVP,河北省石家庄市新华区北火车站,石家庄市,河北省,"114.465417,38.066209"
石家庄,SJP,河北省石家庄市桥西区石家庄火车站,石家庄市,河北省,"114.485920,38.009600"
沈阳,SYT,辽宁省沈阳市和平区沈阳火车站,沈阳市,辽宁省,"123.395289,41.794676"
沈阳北,SBT,辽宁省沈阳市沈河区北火车站,沈阳市,辽宁省,"123.436360,41.818764"
沈阳东,SDT,辽宁省沈阳市,沈阳市,辽宁省,"123.431474,41.805698"
沈阳南,SOT,辽宁省沈阳市,沈阳市,辽宁省,"123.431474,41.805698"
太原北,TBV,山西省太原市尖草坪区北火车站,太原市,山西省,"112.565863,37.917816"
太原东,TDV,山西省太原市杏花岭区太原东火车站,太原市,山西省,"112.586693,37.885470"
太原,TYV,山西省太原市迎泽区太原火车站,太原市,山西省,"112.588269,37.860393"
武汉,WHN,湖北省武汉市洪山区武汉火车站,武汉市,湖北省,"114.427162,30.608599"
王家营西,KNM,江西省宜春市奉新县王家,宜春市,江西省,"115.390160,28.710501"
乌鲁木齐,WAR,新疆维吾尔自治区乌鲁木齐市沙依巴克区乌鲁木齐火车站,乌鲁木齐市,新疆维吾尔自治区,"87.595198,43.787094"
西安北,EAY,陕西省西安市阎良区北火车站,西安市,陕西省,"109.229000,34.659750"
西安,XAY,陕西省西安市新城区西安火车站,西安市,陕西省,"108.962759,34.277433"
西安南,CAY,陕西省西安市长安区南火车站,西安市,陕西省,"109.102018,34.092805"
西宁,XNO,青海省西宁市城东区西宁火车站,西宁市,青海省,"101.813682,36.619882"
银川,YIJ,宁夏回族自治区银川市金凤区银川火车站,银川市,宁夏回族自治区,"106.174680,38.491978"
郑州,ZZF,河南省郑州市二七区郑州火车站,郑州市,河南省,"113.656168,34.746627"
阿尔山,ART,内蒙古自治区兴安盟阿尔山市阿尔山火车站,兴安盟,内蒙古自治区,"119.948009,47.172057"
安康,AKY,陕西省安康市汉滨区安康火车站,安康市,陕西省,"109.023050,32.710500"
阿克苏,ASR,新疆维吾尔自治区阿克苏地区阿克苏市阿克苏火车站,阿克苏地区,新疆维吾尔自治区,"80.307677,41.144982"
阿里河,AHX,,,,
阿拉山口,AKR,新疆维吾尔自治区博尔塔拉蒙古自治州阿拉山口市阿拉山口火车站,博尔塔拉蒙古自治州,新疆维吾尔自治区,"82.573237,45.170940"
安平,APT,,,,
安庆,AQH,安徽省安庆市宜秀区安庆火车站,安庆市,安徽省,"117.065017,30.548838"
安顺,ASW,贵州省安顺市西秀区安顺火车站,安顺市,贵州省,"105.944066,26.229730"
鞍山,AST,辽宁省鞍山市铁东区鞍山火车站,鞍山市,辽宁省,"122.982606,41.105217"
安阳,AYF,河南省安阳市北关区安阳火车站,安阳市,河南省,"114.340058,36.104588"
北安,BAB,,,,
蚌埠,BBH,安徽省蚌埠市龙子湖区蚌埠火车站,蚌埠市,安徽省,"117.378449,32.944332"
白城,BCT,吉林省白城市洮北区白城火车站,白城市,吉林省,"122.863716,45.617220"
北海,BHZ,广西壮族自治区北海市海城区北海火车站,北海市,广西壮族自治区,"109.122135,21.454032"
白河,BEL,陕西省安康市白河县白河火车站,安康市,陕西省,"110.099616,32.833118"
白涧,BAP,天津市蓟县白涧镇,天津市,天津市,"117.221245,39.999882"
宝鸡,BJY,陕西省宝鸡市渭滨区宝鸡火车站,宝鸡市,陕西省,"107.153292,34.373311"
滨江,BJB,浙江省杭州市滨江区滨江,杭州市,浙江省,"120.151667,30.169379"
博克图,BKX,内蒙古自治区呼伦贝尔市牙克石市博克图镇,呼伦贝尔市,内蒙古自治区,"121.916039,48.753597"
百色,BIZ,广西壮族自治区百色市右江区百色火车站,百色市,广西壮族自治区,"106.657569,23.880187"
白山市,HJL,吉林省白山市浑江区白山市火车站,白山市,吉林省,"126.456360,41.953508"
北台,BTT,辽宁省本溪市平山区北台街道,本溪市,辽宁省,"123.644196,41.224842"
包头东,BDC,内蒙古自治区包头市东河区东火车站,包头市,内蒙古自治区,"110.024068,40.570245"
包头,BTC,内蒙古自治区包头市青山区包头火车站,包头市,内蒙古自治区,"109.848271,40.620302"
北屯市,BXR,新疆维吾尔自治区北屯市北屯火车站,,新疆维吾尔自治区,
本溪,BXT,辽宁省本溪市平山区本溪火车站,本溪市,辽宁省,"123.757700,41.296254"
白云鄂博,BEC,贵州省贵阳市白云区白云,贵阳市,贵州省,"106.633750,26.682375"
白银西,BXJ,甘肃省白银市白银区西火车站,白银市,甘肃省,"104.098791,36.550437"
亳州,BZH,安徽省亳州市谯城区亳州火车站,亳州市,安徽省,"115.797322,33.847879"
赤壁,CBN,湖北省咸宁市赤壁市赤壁火车站,咸宁市,湖北省,"113.930025,29.721700"
常德,VGQ,湖南省常德市武陵区常德火车站,常德市,湖南省,"111.695058,29.070644"
承德,CDP,河北省承德市双桥区承德火车站,承德市,河北省,"117.954068,40.963718"
长甸,CDT,辽宁省丹东市宽甸满族自治县长甸镇,丹东市,辽宁省,"124.818222,40.484615"
赤峰,CFD,内蒙古自治区赤峰市红山区赤峰火车站,赤峰市,内蒙古自治区,"118.960574,42.256748"
茶陵,CDG,,,,
苍南,CEH,浙江省温州市苍南县苍南火车站,温州市,浙江省,"120.411891,27.527824"
昌平,CPP,北京市昌平区昌平火车站,北京市,北京市,"116.194068,40.189613"
崇仁,CRG,江西省抚州市崇仁县崇仁,抚州市,江西省,"116.055767,27.767249"
昌图,CTT,辽宁省铁岭市昌图县昌图火车站,铁岭市,辽宁省,"124.117582,42.778690"
长汀镇,CDB,福建省龙岩市长汀县长汀火车站,龙岩市,福建省,"116.344067,25.828568"
曹县,CXK,山东省菏泽市曹县曹县火车站,菏泽市,山东省,"115.581733,34.825850"
楚雄南,COM,云南省楚雄彝族自治州禄丰县南火车站,楚雄彝族自治州,云南省,"102.063775,25.119951"
陈相屯,CXT,江苏省徐州市新沂市陈相村,徐州市,江苏省,"118.434509,34.349205"
长治北,CBF,山西省长治市郊区北火车站,长治市,山西省,"113.125796,36.307901"
池州,IYH,安徽省池州市贵池区池州火车站,池州市,安徽省,"117.522513,30.619237"
长征,CZJ,海南省琼中黎族苗族自治县长征镇,,海南省,
常州,CZH,江苏省常州市天宁区常州火车站,常州市,江苏省,"119.972431,31.783655"
郴州,CZQ,湖南省郴州市苏仙区郴州火车站,郴州市,湖南省,"113.032959,25.808652"
长治,CZF,山西省长治市郊区长治火车站,长治市,山西省,"113.070557,36.188577"
沧州,COP,河北省沧州市新华区沧州火车站,沧州市,河北省,"116.877693,38.309148"
崇左,CZZ,广西壮族自治区崇左市江州区崇左火车站,崇左市,广西壮族自治区,"107.358082,22.403815"
大安北,RNT,吉林省白城市大安市安北火车站,白城市,吉林省,"124.237794,45.516533"
大成,DCT,海南省大成镇,,海南省,
丹东,DUT,辽宁省丹东市振兴区丹东火车站,丹东市,辽宁省,"124.387617,40.124217"
东方红,DFB,海南省东方市东方红,,海南省,
东莞东,DMQ,广东省东莞市东莞东火车站,东莞市,广东省,"114.039355,22.967849"
大虎山,DHD,广东省广州市南沙区大虎,广州市,广东省,"113.584747,22.820898"
敦化,DHL,吉林省延边朝鲜族自治州敦化市敦化火车站,延边朝鲜族自治州,吉林省,"128.245796,43.379971"
敦煌,DHJ,甘肃省酒泉市敦煌市敦煌火车站,酒泉市,甘肃省,"94.784247,40.167922"
德惠,DHT,吉林省长春市德惠市德惠火车站,长春市,吉林省,"125.716884,44.533687"
东京城,DJB,安徽省阜阳市界首市东京,阜阳市,安徽省,"115.403450,33.044838"
大涧,DFP,山西省忻州市岢岚县大涧乡,忻州市,山西省,"111.530960,38.599937"
都江堰,DDW,四川省成都市都江堰市都江堰火车站,成都市,四川省,"103.638363,30.957160"
大连北,DFT,辽宁省大连市甘井子区北火车站,大连市,辽宁省,"121.607318,39.016593"
大理,DKM,云南省大理白族自治州大理市大理火车站,大理白族自治州,云南省,"100.250461,25.589470"
大连,DLT,辽宁省大连市西岗区大连火车站,大连市,辽宁省,"121.630192,38.923204"
定南,DNG,江西省赣州市定南县定南火车站,赣州市,江西省,"115.004715,24.774767"
大庆,DZX,黑龙江省大庆市萨尔图区大庆火车站,大庆市,黑龙江省,"125.011666,46.598505"
东胜,DOC,内蒙古自治区鄂尔多斯市东胜区东胜火车站,鄂尔多斯市,内蒙古自治区,"109.976655,39.815514"
大石桥,DQT,辽宁省营口市大石桥市大石桥火车站,营口市,辽宁省,"122.503763,40.643709"
大同,DTV,山西省大同市城区大同火车站,大同市,山西省,"113.304071,40.120784"
东营,DPK,山东省东营市东营区东营火车站,东营市,山东省,"118.472150,37.455555"
大杨树,DUX,内蒙古自治区呼伦贝尔市鄂伦春自治旗大杨树镇,呼伦贝尔市,内蒙古自治区,"124.587547,49.752689"
都匀,RYW,贵州省黔南布依族苗族自治州都匀市都匀火车站,黔南布依族苗族自治州,贵州省,"107.516078,26.232464"
邓州,DOF,河南省南阳市邓州市邓州火车站,南阳市,河南省,"112.070626,32.683760"
达州,RXW,四川省达州市通川区达州火车站,达州市,四川省,"107.452907,31.198091"
德州,DZP,山东省德州市德城区德州火车站,德州市,山东省,"116.288562,37.449441"
额济纳,EJC,,,,
二连,RLC,内蒙古自治区锡林郭勒盟二连浩特市二连火车站,锡林郭勒盟,内蒙古自治区,"111.986969,43.657402"
恩施,ESN,湖北省恩施土家族苗族自治州恩施市恩施火车站,恩施土家族苗族自治州,湖北省,"109.484105,30.348193"
福鼎,FES,福建省宁德市福鼎市福鼎火车站,宁德市,福建省,"120.189238,27.282435"
凤凰机场,FJQ,,,,
风陵渡,FLV,山西省运城市芮城县风陵渡镇,运城市,山西省,"110.344681,34.669415"
涪陵,FLW,重庆市涪陵区涪陵火车站,重庆市,重庆市,"107.333802,29.699223"
富拉尔基,FRX,黑龙江省齐齐哈尔市富拉尔基区富拉尔基火车站,齐齐哈尔市,黑龙江省,"123.646009,47.210728"
抚顺北,FET,辽宁省抚顺市顺城区北火车站,抚顺市,辽宁省,"123.918207,41.888787"
佛山,FSQ,广东省佛山市禅城区佛山火车站,佛山市,广东省,"113.104116,23.047368"
阜新南,FXD,辽宁省阜新市,阜新市,辽宁省,"121.670323,42.021619"
阜阳,FYH,安徽省阜阳市颍州区阜阳火车站,阜阳市,安徽省,"115.706609,32.792578"
格尔木,GRO,青海省海西蒙古族藏族自治州格尔木市格尔木火车站,海西蒙古族藏族自治州,青海省,"94.907079,36.382950"
广汉,GHW,四川省德阳市广汉市广汉火车站,德阳市,四川省,"104.263894,30.976868"
古交,GJV,山西省太原市古交市古交火车站,太原市,山西省,"112.163879,37.918218"
桂林北,GBZ,广西壮族自治区桂林市兴安县北火车站,桂林市,广西壮族自治区,"110.667017,25.673502"
古莲,GRX,广西壮族自治区河池市都安瑶族自治县古莲,河池市,广西壮族自治区,"108.113480,23.871363"
桂林,GLZ,广西壮族自治区桂林市象山区桂林火车站,桂林市,广西壮族自治区,"110.282334,25.261412"
固始,GXN,河南省信阳市固始县固始火车站,信阳市,河南省,"115.669475,31.915448"
广水,GSN,湖北省随州市广水市广水火车站,随州市,湖北省,"114.037120,31.631296"
干塘,GNJ,云南省保山市隆阳区干塘,保山市,云南省,"99.218491,25.441162"
广元,GYW,四川省广元市利州区广元火车站,广元市,四川省,"105.821410,32.450356"
广州北,GBQ,广东省广州市,广州市,广东省,"113.264434,23.129162"
赣州,GZG,江西省赣州市章贡区赣州火车站,赣州市,江西省,"114.946528,25.825802"
公主岭,GLT,吉林省四平市公主岭市公主岭火车站,四平市,吉林省,"124.811239,43.509087"
公主岭南,GBT,吉林省四平市公主岭市公主岭,四平市,吉林省,"124.829026,43.503352"
淮安,AUH,江苏省淮安市淮阴区淮安火车站,淮安市,江苏省,"119.033280,33.648602"
淮北,HRH,安徽省淮北市相山区淮北火车站,淮北市,安徽省,"116.802700,33.966774"
鹤北,HMB,黑龙江省鹤岗市萝北县鹤北镇,鹤岗市,黑龙江省,"130.540359,47.683079"
淮滨,HVN,河南省信阳市淮滨县淮滨火车站,信阳市,河南省,"115.412640,32.501079"
河边,HBV,,,,
潢川,KCN,河南省信阳市潢川县潢川火车站,信阳市,河南省,"115.102568,32.112065"
韩城,HCY,陕西省渭南市韩城市韩城火车站,渭南市,陕西省,"110.441618,35.484615"
邯郸,HDP,河北省邯郸市丛台区邯郸火车站,邯郸市,河北省,"114.476916,36.603869"
横道河子,HDB,黑龙江省牡丹江市海林市横道镇,牡丹江市,黑龙江省,"129.071075,44.818851"
鹤岗,HGB,黑龙江省鹤岗市向阳区鹤岗火车站,鹤岗市,黑龙江省,"130.284535,47.340552"
皇姑屯,HTT,辽宁省沈阳市皇姑区皇姑屯火车站,沈阳市,辽宁省,"123.394877,41.815788"
红果,HEM,贵州省六盘水市盘县红果镇,六盘水市,贵州省,"104.428589,25.753336"
黑河,HJB,黑龙江省黑河市爱辉区黑河火车站,黑河市,黑龙江省,"127.500655,50.233546"
怀化,HHQ,湖南省怀化市鹤城区怀化火车站,怀化市,湖南省,"109.967136,27.557998"
汉口,HKN,湖北省武汉市江汉区汉口火车站,武汉市,湖北省,"114.259125,30.592751"
葫芦岛,HLD,辽宁省葫芦岛市连山区葫芦岛火车站,葫芦岛市,辽宁省,"120.869077,40.754423"
海拉尔,HRX,内蒙古自治区呼伦贝尔市海拉尔区海拉尔,呼伦贝尔市,内蒙古自治区,"119.744014,49.212779"
霍林郭勒,HWD,内蒙古自治区通辽市霍林郭勒市霍林郭勒火车站,通辽市,内蒙古自治区,"119.668478,45.535444"
海伦,HLB,黑龙江省绥化市海伦市海伦火车站,绥化市,黑龙江省,"126.993915,47.468112"
侯马,HMV,山西省临汾市侯马市侯马火车站,临汾市,山西省,"111.358519,35.613246"
哈密,HMR,新疆维吾尔自治区哈密市伊州区哈密火车站,哈密市,新疆维吾尔自治区,"93.506057,42.850686"
淮南,HAH,安徽省淮南市田家庵区淮南火车站,淮南市,安徽省,"117.020246,32.630711"
桦南,HNB,黑龙江省佳木斯市桦南县桦南火车站,佳木斯市,黑龙江省,"130.583392,46.244194"
海宁西,EUH,浙江省嘉兴市海宁市海宁,嘉兴市,浙江省,"120.680757,30.510659"
鹤庆,HQM,云南省大理白族自治州鹤庆县鹤庆火车站,大理白族自治州,云南省,"100.216143,26.555576"
怀柔北,HBP,北京市怀柔区怀柔北火车站,北京市,北京市,"116.693226,40.408610"
怀柔,HRP,北京市怀柔区怀柔火车站,北京市,北京市,"116.648816,40.317169"
黄石东,OSN,湖北省黄石市西塞山区东火车站,黄石市,湖北省,"115.087578,30.203828"
华山,HSY,山东省济南市历城区华山镇,济南市,山东省,"117.105423,36.740524"
黄山,HKH,安徽省黄山市屯溪区黄山火车站,黄山市,安徽省,"118.322653,29.722584"
黄石,HSN,湖北省黄石市大冶市黄石火车站,黄石市,湖北省,"114.941119,30.153971"
衡水,HSP,河北省衡水市桃城区衡水火车站,衡水市,河北省,"115.694750,37.743663"
衡阳,HYQ,湖南省衡阳市珠晖区衡阳火车站,衡阳市,湖南省,"112.630393,26.889931"
菏泽,HIK,山东省菏泽市东明县菏泽火车站,菏泽市,山东省,"115.122828,35.292304"
贺州,HXZ,广西壮族自治区贺州市平桂区贺州火车站,贺州市,广西壮族自治区,"111.539578,24.454710"
汉中,HOY,陕西省汉中市汉台区汉中火车站,汉中市,陕西省,"107.029958,33.090738"
惠州,HCQ,广东省惠州市惠城区惠州火车站,惠州市,广东省,"114.416595,23.151484"
吉安,VAG,江西省吉安市青原区吉安火车站,吉安市,江西省,"115.019669,27.105239"
集安,JAL,吉林省通化市集安市集安火车站,通化市,吉林省,"126.203613,41.135570"
江边村,JBG,江西省鹰潭市月湖区江边街道,鹰潭市,江西省,"117.036949,28.240944"
晋城,JCF,山西省晋城市城区晋城火车站,晋城市,山西省,"112.873423,35.475876"
金城江,JJZ,广西壮族自治区河池市金城江区金城江火车站,河池市,广西壮族自治区,"108.065450,24.699674"
景德镇,JCG,江西省景德镇市珠山区景德镇火车站,景德镇市,江西省,"117.221836,29.285905"
嘉峰,JFF,山西省晋城市沁水县嘉峰镇,晋城市,山西省,"112.535286,35.632244"
加格达奇,JGX,黑龙江省大兴安岭地区加格达奇区加格达奇火车站,大兴安岭地区,黑龙江省,"124.126784,50.420219"
井冈山,JGG,江西省吉安市井冈山市井冈山火车站,吉安市,江西省,"114.297623,26.727815"
蛟河,JHL,吉林省吉林市蛟河市蛟河火车站,吉林市,吉林省,"127.351345,43.725188"
金华南,RNH,浙江省金华市金东区南火车站,金华市,浙江省,"119.738956,29.114425"
金华,JBH,浙江省金华市婺城区金华火车站,金华市,浙江省,"119.635742,29.110767"
九江,JJG,江西省九江市浔阳区九江火车站,九江市,江西省,"115.998023,29.708380"
吉林,JLL,,,,
荆门,JMN,湖北省荆门市东宝区荆门火车站,荆门市,湖北省,"112.211996,31.050664"
佳木斯,JMB,黑龙江省佳木斯市前进区佳木斯火车站,佳木斯市,黑龙江省,"130.382297,46.803728"
济宁,JIK,山东省济宁市任城区济宁火车站,济宁市,山东省,"116.600745,35.392532"
集宁南,JAC,内蒙古自治区乌兰察布市集宁区南火车站,乌兰察布市,内蒙古自治区,"113.099434,41.030830"
酒泉,JQJ,甘肃省酒泉市肃州区酒泉火车站,酒泉市,甘肃省,"98.452037,39.645222"
江山,JUH,浙江省衢州市江山市江山火车站,衢州市,浙江省,"118.644225,28.772698"
吉首,JIQ,湖南省湘西土家族苗族自治州吉首市吉首火车站,湘西土家族苗族自治州,湖南省,"109.735632,28.323225"
九台,JTL,吉林省长春市九台区九台火车站,长春市,吉林省,"125.838699,44.149755"
镜铁山,JVJ,湖北省黄石市铁山区铁山火车站,黄石市,湖北省,"114.886551,30.200503"
鸡西,JXB,黑龙江省鸡西市鸡冠区鸡西火车站,鸡西市,黑龙江省,"130.977995,45.304303"
绩溪县,JRH,安徽省宣城市绩溪县,宣城市,安徽省,"118.578519,30.067533"
嘉峪关,JGJ,甘肃省嘉峪关市嘉峪关火车站,嘉峪关市,甘肃省,"98.253494,39.764654"
江油,JFW,四川省绵阳市江油市江油火车站,绵阳市,四川省,"104.770418,31.782272"
蓟州北,JKP,,,,
金州,JZT,辽宁省大连市金州区金州火车站,大连市,辽宁省,"121.726446,39.087511"
锦州,JZD,辽宁省锦州市凌河区锦州火车站,锦州市,辽宁省,"121.139494,41.125525"
库尔勒,KLR,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市库尔勒火车站,巴音郭楞蒙古自治州,新疆维吾尔自治区,"86.196441,41.747650"
开封,KFF,河南省开封市禹王台区开封火车站,开封市,河南省,"114.353021,34.771332"
岢岚,KLV,,,,
凯里,KLW,贵州省黔东南苗族侗族自治州凯里市凯里火车站,黔东南苗族侗族自治州,贵州省,"107.976618,26.603627"
喀什,KSR,新疆维吾尔自治区喀什地区喀什市喀什火车站,喀什地区,新疆维吾尔自治区,"76.048853,39.493689"
昆山南,KNH,江苏省苏州市昆山市昆山,苏州市,江苏省,"120.974177,31.341479"
奎屯,KTR,,,,
开原,KYT,辽宁省铁岭市开原市开原火车站,铁岭市,辽宁省,"124.031997,42.546718"
六安,UAH,安徽省六安市裕安区六安火车站,六安市,安徽省,"116.499883,31.714965"
灵宝,LBF,河南省三门峡市灵宝市灵宝火车站,三门峡市,河南省,"110.896934,34.510383"
芦潮港,UCH,上海市浦东新区芦潮港火车站,上海市,上海市,"121.851013,30.885283"
利川,LCN,湖北省恩施土家族苗族自治州利川市利川火车站,恩施土家族苗族自治州,湖北省,"108.940427,30.278534"
隆昌,LCW,,,,
陆川,LKZ,广西壮族自治区玉林市陆川县陆川火车站,玉林市,广西壮族自治区,"110.257586,22.309828"
临川,LCG,,,,
潞城,UTP,山西省长治市潞城市潞城火车站,长治市,山西省,"113.222230,36.320760"
鹿道,LDL,重庆市彭水苗族土家族自治县鹿道,重庆市,重庆市,"108.580269,29.459646"
娄底,LDQ,湖南省娄底市娄星区娄底火车站,娄底市,湖南省,"112.005564,27.739766"
临汾,LFV,山西省临汾市尧都区临汾火车站,临汾市,山西省,"111.536026,36.086991"
良各庄,LGP,北京市昌平区良各庄村,北京市,北京市,"116.337936,40.183224"
临河,LHC,内蒙古自治区巴彦淖尔市临河区临河火车站,巴彦淖尔市,内蒙古自治区,"107.432895,40.744860"
漯河,LON,河南省漯河市源汇区漯河火车站,漯河市,河南省,"114.041646,33.570567"
绿化,LWJ,贵州省毕节市黔西县绿化白族彝族乡,毕节市,贵州省,"106.100220,26.938467"
隆化,UHP,河北省承德市隆化县隆化火车站,承德市,河北省,"117.751766,41.328212"
丽江,LHM,云南省丽江市玉龙纳西族自治县丽江火车站,丽江市,云南省,"100.252637,26.810661"
临江,LQL,吉林省白山市临江市临江火车站,白山市,吉林省,"126.902368,41.803192"
龙井,LJL,,,,
吕梁,LHV,山西省吕梁市离石区吕梁火车站,吕梁市,山西省,"111.137717,37.567993"
醴陵,LLG,,,,
柳林南,LKV,山西省吕梁市柳林县柳林南火车站,吕梁市,山西省,"110.931758,37.443152"
滦平,UPP,河北省承德市滦平县滦平火车站,承德市,河北省,"117.316182,40.923606"
六盘水,UMW,贵州省六盘水市钟山区六盘水火车站,六盘水市,贵州省,"104.851050,26.592098"
灵丘,LVV,山西省大同市灵丘县灵丘火车站,大同市,山西省,"114.222862,39.462284"
旅顺,LST,甘肃省兰州市永登县旅顺村,兰州市,甘肃省,"103.133926,36.758595"
兰溪,LWH,浙江省金华市兰溪市兰溪火车站,金华市,浙江省,"119.479626,29.213801"
陇西,LXJ,甘肃省定西市陇西县陇西火车站,定西市,甘肃省,"104.705748,34.951989"
澧县,LEQ,湖南省常德市澧县澧县火车站,常德市,湖南省,"111.604583,29.818621"
临西,UEP,河北省邢台市临西县临西火车站,邢台市,河北省,"115.714165,36.927346"
龙岩,LYS,福建省龙岩市新罗区龙岩火车站,龙岩市,福建省,"117.007259,25.096234"
耒阳,LYQ,湖南省衡阳市耒阳市耒阳火车站,衡阳市,湖南省,"112.822320,26.404052"
洛阳,LYF,河南省洛阳市西工区洛阳火车站,洛阳市,河南省,"112.434165,34.684776"
连云港东,UKH,江苏省连云港市,连云港市,江苏省,"119.221611,34.596653"
洛阳东,LDF,河南省洛阳市瀍河回族区东火车站,洛阳市,河南省,"112.486176,34.696696"
临沂,LVK,山东省临沂市兰山区临沂火车站,临沂市,山东省,"118.344819,35.036496"
